Problem, POM3D , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 1253015.25535 , IQR-HV, 19055.447925 , Median-spreads, 0.647128337899 , IQR-spreads, 0.0444860248135 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 1257116.53645 , IQR-HV, 10144.5958 , Median-spreads, 0.64070337853 , IQR-spreads, 0.0740092723769 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 1255229.9346 , IQR-HV, 14613.722875 , Median-spreads, 0.622424620786 , IQR-spreads, 0.0487620900889 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 1255681.85215 , IQR-HV, 18811.548275 , Median-spreads, 0.642494023128 , IQR-spreads, 0.0608089870486 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 1257420.2217 , IQR-HV, 15031.230225 , Median-spreads, 0.593080020345 , IQR-spreads, 0.0445657167071 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 1258221.65045 , IQR-HV, 25593.0838 , Median-spreads, 0.614826117774 , IQR-spreads, 0.0518173660671 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 1265233.14035 , IQR-HV, 21689.305525 , Median-spreads, 0.626818294542 , IQR-spreads, 0.0426224182978 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 1260510.08185 , IQR-HV, 23546.3962 , Median-spreads, 0.607396073531 , IQR-spreads, 0.0690468568639 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 1260342.05855 , IQR-HV, 23310.293925 , Median-spreads, 0.6193973301 , IQR-spreads, 0.0421416908768 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 1268211.77985 , IQR-HV, 22130.07175 , Median-spreads, 0.664165118902 , IQR-spreads, 0.0526229172732 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 137100244.034 , IQR-HV, 5506934.4254 , Median-spreads, 0.608781347964 , IQR-spreads, 0.0482358521671 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 137126862.46 , IQR-HV, 3825777.43565 , Median-spreads, 0.594309937721 , IQR-spreads, 0.0466334047402 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 136835006.035 , IQR-HV, 4070958.37955 , Median-spreads, 0.59245041041 , IQR-spreads, 0.0435885175554 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 136822226.046 , IQR-HV, 3337348.3151 , Median-spreads, 0.602152059811 , IQR-spreads, 0.0548859851321 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 135731871.7 , IQR-HV, 4246551.67368 , Median-spreads, 0.589731373578 , IQR-spreads, 0.0461089858056 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 136909338.923 , IQR-HV, 3422886.07475 , Median-spreads, 0.591074968258 , IQR-spreads, 0.0438952350307 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 136755707.753 , IQR-HV, 4180552.38895 , Median-spreads, 0.607986474609 , IQR-spreads, 0.0432259261482 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 136676949.941 , IQR-HV, 2889901.648 , Median-spreads, 0.593688214652 , IQR-spreads, 0.052573667536 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 135827017.513 , IQR-HV, 5408704.2475 , Median-spreads, 0.580429393727 , IQR-spreads, 0.0302033011055 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 136163087.684 , IQR-HV, 3088921.87252 , Median-spreads, 0.593062141355 , IQR-spreads, 0.0531728935651 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 136225214.474 , IQR-HV, 1690752.18697 , Median-spreads, 0.59884904932 , IQR-spreads, 0.0437658725967 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_flight , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 135962700.633 , IQR-HV, 2522364.3292 , Median-spreads, 0.586622966366 , IQR-spreads, 0.0564124218041 , Median-PFS, 100.0 , IQR-PFS, 0.0
